register;points;region_1;title;price;province;region_2;variety;winery
25105;87;Barolo                    ;Gianni Gagliardo 2009 Preve Riserva  (Barolo)                                                     ;214;Piedmont         ;                 ;Nebbiolo                  ;Gianni Gagliardo               
25106;87;Bardolino Chiaretto       ;Guerrieri Rizzardi 2015 Classico  (Bardolino Chiaretto)                                           ;19;Veneto           ;                 ;Red Blend                 ;Guerrieri Rizzardi             
25112;86;Terre di Chieti           ;Terra d'Aligi 2009 Pecorino (Terre di Chieti)                                                     ;11;Central Italy    ;                 ;Pecorino                  ;Terra d'Aligi                  
25125;86;Umbria                    ;Lungarotti 2009 Pinot Grigio (Umbria)                                                             ;16;Central Italy    ;                 ;Pinot Grigio              ;Lungarotti                     
25134;86;Umbria                    ;Barberani 2008 Grechetto (Umbria)                                                                 ;               ;Central Italy    ;                 ;Grechetto                 ;Barberani                      
25136;86;Vermentino di Gallura     ;Sella & Mosca 2008 La Cala  (Vermentino di Gallura)                                               ;14;Sicily & Sardinia;                 ;Vermentino                ;Sella & Mosca                  
25149;88;Franciacorta              ;Ricci Curbastro 2009 Brut Saten Chardonnay (Franciacorta)                                         ;47;Lombardy         ;                 ;Chardonnay                ;Ricci Curbastro                
25156;88;Amarone della Valpolicella;Domìni Veneti 2011  Amarone della Valpolicella Classico                                           ;45;Veneto           ;                 ;Red Blend                 ;Domìni Veneti                  
25162;88;Franciacorta              ;La Valle 2007 Naturalis Extra Brut Sparkling (Franciacorta)                                       ;34;Lombardy         ;                 ;Sparkling Blend           ;La Valle                       
25201;92;Brunello di Montalcino    ;San Polino 2007 Helichrysum  (Brunello di Montalcino)                                             ;75;Tuscany          ;                 ;Sangiovese Grosso         ;San Polino                     
25202;92;Brunello di Montalcino    ;Sesta di Sopra 2007  Brunello di Montalcino                                                       ;70;Tuscany          ;                 ;Sangiovese Grosso         ;Sesta di Sopra                 
25203;92;Brunello di Montalcino    ;Tornesi 2006 Riserva  (Brunello di Montalcino)                                                    ;80;Tuscany          ;                 ;Sangiovese Grosso         ;Tornesi                        
25204;92;Brunello di Montalcino    ;Uccelliera 2006 Riserva  (Brunello di Montalcino)                                                 ;65;Tuscany          ;                 ;Sangiovese Grosso         ;Uccelliera                     
25205;92;Brunello di Montalcino    ;Innocenti 2007  Brunello di Montalcino                                                            ;               ;Tuscany          ;                 ;Sangiovese Grosso         ;Innocenti                      
25207;92;Brunello di Montalcino    ;La Fiorita 2006 Riserva  (Brunello di Montalcino)                                                 ;               ;Tuscany          ;                 ;Sangiovese Grosso         ;La Fiorita                     
25208;92;Brunello di Montalcino    ;Marchesato degli Aleramici 2006 Riserva  (Brunello di Montalcino)                                 ;75;Tuscany          ;                 ;Sangiovese Grosso         ;Marchesato degli Aleramici     
25210;92;Brunello di Montalcino    ;Villa Poggio Salvi 2006 Riserva  (Brunello di Montalcino)                                         ;60;Tuscany          ;                 ;Sangiovese Grosso         ;Villa Poggio Salvi             
25215;92;Brunello di Montalcino    ;Il Poggiolo E. Cosimi 2007 Bramante Cosimi  (Brunello di Montalcino)                              ;45;Tuscany          ;                 ;Sangiovese Grosso         ;Il Poggiolo E. Cosimi          
25216;92;Brunello di Montalcino    ;Il Valentiano 2006 Campo di Marzo  (Brunello di Montalcino)                                       ;60;Tuscany          ;                 ;Sangiovese Grosso         ;Il Valentiano                  
25217;92;Brunello di Montalcino    ;Podere Paganico 2006 Riserva  (Brunello di Montalcino)                                            ;50;Tuscany          ;                 ;Sangiovese Grosso         ;Podere Paganico                
25218;92;Brunello di Montalcino    ;Podere Paganico 2007  Brunello di Montalcino                                                      ;40;Tuscany          ;                 ;Sangiovese Grosso         ;Podere Paganico                
25219;92;Toscana                   ;Poggio Antico 2010 Lemartine Red (Toscana)                                                        ;52;Tuscany          ;                 ;Red Blend                 ;Poggio Antico                  
25221;92;Brunello di Montalcino    ;Tenuta di Sesta 2006 Riserva  (Brunello di Montalcino)                                            ;140;Tuscany          ;                 ;Sangiovese Grosso         ;Tenuta di Sesta                
25224;88;Chianti Classico          ;La Madonnina 2006 Bello Stento  (Chianti Classico)                                                ;               ;Tuscany          ;                 ;Sangiovese                ;La Madonnina                   
25227;88;Chianti Classico          ;Antico Borgo di Sugame 2006  Chianti Classico                                                     ;26;Tuscany          ;                 ;Sangiovese                ;Antico Borgo di Sugame         
25231;87;Vernaccia di San Gimignano;Agricoltori del Chianti Geografico 2007  Vernaccia di San Gimignano                               ;14;Tuscany          ;                 ;Vernaccia                 ;Agricoltori del Chianti Geograf
25233;87;Chianti Classico          ;Castello di Querceto 2006  Chianti Classico                                                       ;               ;Tuscany          ;                 ;Sangiovese                ;Castello di Querceto           
25235;87;Chianti Classico          ;Tenuta di Lilliano 2006  Chianti Classico                                                         ;               ;Tuscany          ;                 ;Sangiovese                ;Tenuta di Lilliano             
25238;87;Vernaccia di San Gimignano;Mormoraia 2005 Riserva  (Vernaccia di San Gimignano)                                              ;               ;Tuscany          ;                 ;Vernaccia                 ;Mormoraia                      
25256;87;Vino Spumante             ;Costaripa NV Rosé Sparkling (Vino Spumante)                                                       ;36;Italy Other      ;                 ;Sparkling Blend           ;Costaripa                      
25258;87;Franciacorta              ;Ricci Curbastro NV Brut Sparkling (Franciacorta)                                                  ;40;Lombardy         ;                 ;Sparkling Blend           ;Ricci Curbastro                
25269;87;Franciacorta              ;Castello Bonomi NV Cru Perdu Sparkling (Franciacorta)                                             ;40;Lombardy         ;                 ;Sparkling Blend           ;Castello Bonomi                
25275;86;Isola dei Nuraghi         ;Argiolas 2012 Serra Lori Red (Isola dei Nuraghi)                                                  ;16;Sicily & Sardinia;                 ;Red Blend                 ;Argiolas                       
25280;86;Friuli Grave              ;Piera Martellozzo 2012 075 Carati Pinot Grigio (Friuli Grave)                                     ;16;Northeastern Ital;                 ;Pinot Grigio              ;Piera Martellozzo              
25286;86;Venezia Giulia            ;Mario Schiopetto 2008 Podere dei Blumeri Red (Venezia Giulia)                                     ;40;Northeastern Ital;                 ;Red Blend                 ;Mario Schiopetto               
25297;87;Collio                    ;Villa Russiz 2006 Pinot Bianco (Collio)                                                           ;34;Northeastern Ital;                 ;Pinot Bianco              ;Villa Russiz                   
25298;87;Collio                    ;Villa Russiz 2006 Sauvignon (Collio)                                                              ;34;Northeastern Ital;                 ;Sauvignon                 ;Villa Russiz                   
25299;87;Collio                    ;Villa Russiz 2006 Tocai Friulano (Collio)                                                         ;34;Northeastern Ital;                 ;Tocai Friulano            ;Villa Russiz                   
25300;87;Collio                    ;Villa Russiz 2007 Friulano (Collio)                                                               ;34;Northeastern Ital;                 ;Friulano                  ;Villa Russiz                   
25303;87;Sicilia                   ;Calatrasi 2004 TDG 651 Red (Sicilia)                                                              ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Calatrasi                      
25304;87;Salento                   ;Cantele 2006 Varius Red (Salento)                                                                 ;18;Southern Italy   ;                 ;Red Blend                 ;Cantele                        
25310;87;Alto Adige                ;Colterenzio 2007 Weisshaus Pinot Bianco (Alto Adige)                                              ;19;Northeastern Ital;                 ;Pinot Bianco              ;Colterenzio                    
25316;87;Basilicata                ;Terre degli Svevi 2007 Re Manfredi White (Basilicata)                                             ;22;Southern Italy   ;                 ;White Blend               ;Terre degli Svevi              
25320;87;Valpolicella Classico Supe;Luciana Cordioli 2006 Vignenuove  (Valpolicella Classico Superiore Ripasso)                       ;27;Veneto           ;                 ;Red Blend                 ;Luciana Cordioli               
25327;95;Brunello di Montalcino    ;Siro Pacenti 2006 Riserva  (Brunello di Montalcino)                                               ;120;Tuscany          ;                 ;Sangiovese Grosso         ;Siro Pacenti                   
25328;95;Brunello di Montalcino    ;Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino)                                     ;61;Tuscany          ;                 ;Sangiovese Grosso         ;Tenimenti Angelini             
25329;95;Brunello di Montalcino    ;Verbena 2006 Riserva  (Brunello di Montalcino)                                                    ;75;Tuscany          ;                 ;Sangiovese Grosso         ;Verbena                        
25330;95;Brunello di Montalcino    ;Casanova di Neri 2007  Brunello di Montalcino                                                     ;50;Tuscany          ;                 ;Sangiovese Grosso         ;Casanova di Neri               
25331;95;Brunello di Montalcino    ;Castelgiocondo 2007  Brunello di Montalcino                                                       ;75;Tuscany          ;                 ;Sangiovese Grosso         ;Castelgiocondo                 
25332;95;Brunello di Montalcino    ;Castello Banfi 2006 Poggio all'Oro Riserva  (Brunello di Montalcino)                              ;150;Tuscany          ;                 ;Sangiovese Grosso         ;Castello Banfi                 
25333;94;Brunello di Montalcino    ;Cupano 2006 Riserva  (Brunello di Montalcino)                                                     ;130;Tuscany          ;                 ;Sangiovese Grosso         ;Cupano                         
25335;94;Brunello di Montalcino    ;Donatella Cinelli Colombini 2007  Brunello di Montalcino                                          ;50;Tuscany          ;                 ;Sangiovese Grosso         ;Donatella Cinelli Colombini    
25336;94;Maremma                   ;Fattoria Le Pupille 2008 Saffredi  (Maremma)                                                      ;126;Tuscany          ;                 ;Red Blend                 ;Fattoria Le Pupille            
25337;94;Brunello di Montalcino    ;Gianni Brunelli 2006 Riserva  (Brunello di Montalcino)                                            ;75;Tuscany          ;                 ;Sangiovese Grosso         ;Gianni Brunelli                
25339;94;Brunello di Montalcino    ;La Fortuna 2006 Riserva  (Brunello di Montalcino)                                                 ;59;Tuscany          ;                 ;Sangiovese Grosso         ;La Fortuna                     
25340;94;Brunello di Montalcino    ;La Magia 2007  Brunello di Montalcino                                                             ;50;Tuscany          ;                 ;Sangiovese Grosso         ;La Magia                       
25341;94;Toscana                   ;Marchesi Antinori 2008 Tignanello Red (Toscana)                                                   ;99;Tuscany          ;                 ;Red Blend                 ;Marchesi Antinori              
25345;94;Brunello di Montalcino    ;Tenuta La Fuga 2007  Brunello di Montalcino                                                       ;65;Tuscany          ;                 ;Sangiovese Grosso         ;Tenuta La Fuga                 
25347;94;Brunello di Montalcino    ;San Polo 2006 Riserva  (Brunello di Montalcino)                                                   ;90;Tuscany          ;                 ;Sangiovese Grosso         ;San Polo                       
25350;94;Brunello di Montalcino    ;Fornacina 2007  Brunello di Montalcino                                                            ;64;Tuscany          ;                 ;Sangiovese Grosso         ;Fornacina                      
25352;94;Brunello di Montalcino    ;Bellaria 2006 Assunto Riserva  (Brunello di Montalcino)                                           ;85;Tuscany          ;                 ;Sangiovese Grosso         ;Bellaria                       
25355;87;Vino Nobile di Montepulcia;Vecchia Cantina di Montepulciano 2009  Vino Nobile di Montepulciano                               ;22;Tuscany          ;                 ;Prugnolo Gentile          ;Vecchia Cantina di Montepulcian
25357;87;Conegliano Valdobbiadene P;Il Colle NV 46 Parallelo Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)                 ;30;Veneto           ;                 ;Glera                     ;Il Colle                       
25372;87;Piedmont                  ;Borgo Maragliano 2010 Francesco Galliano Blanc de Blancs Chardonnay (Piedmont)                    ;29;Piedmont         ;                 ;Chardonnay                ;Borgo Maragliano               
25373;87;Conegliano Valdobbiadene P;Bortolotti NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)                            ;20;Veneto           ;                 ;Glera                     ;Bortolotti                     
25374;87;Sangiovese di Romagna     ;Villa Bagnolo 2009 Bagnolo  (Sangiovese di Romagna)                                               ;25;Central Italy    ;                 ;Sangiovese                ;Villa Bagnolo                  
25375;87;Conegliano Valdobbiadene P;Villa Sandi NV Cuvée Oris Dry  (Conegliano Valdobbiadene Prosecco Superiore)                      ;19;Veneto           ;                 ;Glera                     ;Villa Sandi                    
25378;87;Chianti                   ;Pietro Beconcini 2009 Riserva  (Chianti)                                                          ;23;Tuscany          ;                 ;Sangiovese                ;Pietro Beconcini               
25385;94;Barolo                    ;Borgogno 2009 Cannubi  (Barolo)                                                                   ;165;Piedmont         ;                 ;Nebbiolo                  ;Borgogno                       
25433;90;Chianti Classico          ;Carobbio 2013  Chianti Classico                                                                   ;22;Tuscany          ;                 ;Red Blend                 ;Carobbio                       
25459;88;Sicilia                   ;Cusumano 2007 Pinot Nero (Sicilia)                                                                ;28;Sicily & Sardinia;                 ;Pinot Nero                ;Cusumano                       
25464;88;Amarone della Valpolicella;Tedeschi 2004 Capitel Monte Olmi  (Amarone della Valpolicella Classico)                           ;90;Veneto           ;                 ;Corvina, Rondinella, Molin;Tedeschi                       
25471;88;Lugana                    ;Fabiano 2003 Argillaia I Fondatori  (Lugana)                                                      ;19;Lombardy         ;                 ;White Blend               ;Fabiano                        
25486;89;Valpolicella              ;Gino Fasoli 2016 La Corte del Pozzo  (Valpolicella)                                               ;28;Veneto           ;                 ;Red Blend                 ;Gino Fasoli                    
25495;89;Bardolino Classico        ;Villabella 2015 Vigna Morlongo  (Bardolino Classico)                                              ;19;Veneto           ;                 ;Red Blend                 ;Villabella                     
25498;88;Montefalco Sagrantino     ;Arnaldo Caprai 2013 Collepiano  (Montefalco Sagrantino)                                           ;50;Central Italy    ;                 ;Sagrantino                ;Arnaldo Caprai                 
25507;88;Verdicchio dei Castelli di;Bucci 2015  Verdicchio dei Castelli di Jesi Classico Superiore                                    ;21;Central Italy    ;                 ;Verdicchio                ;Bucci                          
25508;88;Lambrusco di Modena       ;Cantina della Volta 2011 Metodo Classico Brut  (Lambrusco di Modena)                              ;17;Central Italy    ;                 ;Lambrusco                 ;Cantina della Volta            
25528;86;Barolo                    ;Parusso 2010 Le Coste di Monforte  (Barolo)                                                       ;80;Piedmont         ;                 ;Nebbiolo                  ;Parusso                        
25546;92;Barbaresco                ;La Spinona 2013 Bricco Faset  (Barbaresco)                                                        ;38;Piedmont         ;                 ;Nebbiolo                  ;La Spinona                     
25556;92;Barbera d'Asti Superiore N;Coppo 2009 Riserva della Famiglia  (Barbera d'Asti Superiore Nizza)                               ;               ;Piedmont         ;                 ;Barbera                   ;Coppo                          
25567;91;Barbera d'Asti            ;Coppo 2015 Camp du Rouss  (Barbera d'Asti)                                                        ;21;Piedmont         ;                 ;Barbera                   ;Coppo                          
25590;85;Barbaresco                ;Salvano 2007 Riserva  (Barbaresco)                                                                ;               ;Piedmont         ;                 ;Nebbiolo                  ;Salvano                        
25620;90;Alto Adige                ;Erste Neue 2014 Pinot Bianco (Alto Adige)                                                         ;17;Northeastern Ital;                 ;Pinot Bianco              ;Erste Neue                     
25675;84;Salento                   ;Miali 2009 Pizzo del Vento Negroamaro (Salento)                                                   ;12;Southern Italy   ;                 ;Negroamaro                ;Miali                          
25685;88;Rosso di Montalcino       ;Quattroventi 2010  Rosso di Montalcino                                                            ;               ;Tuscany          ;                 ;Sangiovese Grosso         ;Quattroventi                   
25691;88;Brunello di Montalcino    ;Col di Lamo 2007  Brunello di Montalcino                                                          ;65;Tuscany          ;                 ;Sangiovese Grosso         ;Col di Lamo                    
25696;88;Rosso di Montalcino       ;Fattoria dei Barbi 2010  Rosso di Montalcino                                                      ;25;Tuscany          ;                 ;Sangiovese Grosso         ;Fattoria dei Barbi             
25697;88;Moscato d'Asti            ;Gianni Doglia 2011  Moscato d'Asti                                                                ;               ;Piedmont         ;                 ;Moscato                   ;Gianni Doglia                  
25702;88;Rosso di Montalcino       ;Biondi Santi 2008  Rosso di Montalcino                                                            ;75;Tuscany          ;                 ;Sangiovese Grosso         ;Biondi Santi                   
25704;88;Rosso di Montalcino       ;Tenuta di Sesta 2010  Rosso di Montalcino                                                         ;30;Tuscany          ;                 ;Sangiovese Grosso         ;Tenuta di Sesta                
25705;88;Rosso di Montalcino       ;Tenute Silvio Nardi 2010  Rosso di Montalcino                                                     ;27;Tuscany          ;                 ;Sangiovese Grosso         ;Tenute Silvio Nardi            
25712;84;Chianti Superiore         ;Banfi 2009  Chianti Superiore                                                                     ;11;Tuscany          ;                 ;Sangiovese                ;Banfi                          
25721;84;Chianti Classico          ;Fattoria la Castellina 2007 Tommaso Bojola  (Chianti Classico)                                    ;21;Tuscany          ;                 ;Sangiovese                ;Fattoria la Castellina         
25731;84;Toscana                   ;Tenuta San Vito 2007 Colle dei Mandorli Merlot (Toscana)                                          ;35;Tuscany          ;                 ;Merlot                    ;Tenuta San Vito                
25741;91;Colli Orientali del Friuli;La Viarte 2012 Friulano (Colli Orientali del Friuli)                                              ;22;Northeastern Ital;                 ;Friulano                  ;La Viarte                      
25742;91;Rosazzo                   ;Livio Felluga 2011 Abbazia di Rosazzo  (Rosazzo)                                                  ;55;Northeastern Ital;                 ;White Blend               ;Livio Felluga                  
25749;91;Colli Orientali del Friuli;Comelli 2012 Friulano (Colli Orientali del Friuli)                                                ;20;Northeastern Ital;                 ;Friulano                  ;Comelli                        
25759;91;Alto Adige Valle Isarco   ;Abbazia di Novacella 2011 Praepositus Veltliner (Alto Adige Valle Isarco)                         ;30;Northeastern Ital;                 ;Veltliner                 ;Abbazia di Novacella           
25767;87;Cortona                   ;La Calonica 2010 Arnth Syrah (Cortona)                                                            ;36;Tuscany          ;                 ;Syrah                     ;La Calonica                    
25768;87;Vino Nobile di Montepulcia;Le Bèrne 2011  Vino Nobile di Montepulciano                                                       ;40;Tuscany          ;                 ;Sangiovese                ;Le Bèrne                       
25776;87;Vino Nobile di Montepulcia;Fattoria della Talosa 2010 Riserva  (Vino Nobile di Montepulciano)                                ;30;Tuscany          ;                 ;Red Blend                 ;Fattoria della Talosa          
25782;87;Chianti Classico          ;Castello di Uzzano 2010 Gran Selezione  (Chianti Classico)                                        ;35;Tuscany          ;                 ;Red Blend                 ;Castello di Uzzano             
25786;87;Vernaccia di San Gimignano;San Quirico 2013  Vernaccia di San Gimignano                                                      ;15;Tuscany          ;                 ;Vernaccia                 ;San Quirico                    
25787;87;Orvieto                   ;Sergio Mottura 2013 Tracugnano  (Orvieto)                                                         ;17;Central Italy    ;                 ;White Blend               ;Sergio Mottura                 
25790;87;Toscana                   ;Le Palaie 2009 Sagrestano Red (Toscana)                                                           ;28;Tuscany          ;                 ;Red Blend                 ;Le Palaie                      
25791;87;Toscana                   ;Aia Vecchia 2011 Lagone Red (Toscana)                                                             ;16;Tuscany          ;                 ;Red Blend                 ;Aia Vecchia                    
25792;87;Chianti Classico          ;Canonica a Cerreto 2010 Riserva  (Chianti Classico)                                               ;39;Tuscany          ;                 ;Red Blend                 ;Canonica a Cerreto             
25793;87;Morellino di Scansano     ;Marchesi de' Frescobaldi 2011 Pietraregia Riserva  (Morellino di Scansano)                        ;24;Tuscany          ;                 ;Sangiovese                ;Marchesi de' Frescobaldi       
25796;87;Vernaccia di San Gimignano;Il Colombaio di Santa Chiara 2013 Selvabianca  (Vernaccia di San Gimignano)                       ;19;Tuscany          ;                 ;Vernaccia                 ;Il Colombaio di Santa Chiara   
25800;93;Brunello di Montalcino    ;Castelgiocondo 2012  Brunello di Montalcino                                                       ;79;Tuscany          ;                 ;Sangiovese                ;Castelgiocondo                 
25806;93;Brunello di Montalcino    ;Donatella Cinelli Colombini 2012 Prime Donne  (Brunello di Montalcino)                            ;106;Tuscany          ;                 ;Sangiovese                ;Donatella Cinelli Colombini    
25816;93;Amarone della Valpolicella;Masi 2009 Mazzano  (Amarone della Valpolicella Classico)                                          ;170;Veneto           ;                 ;Red Blend                 ;Masi                           
25825;93;Brunello di Montalcino    ;San Polino 2012 Helicrysum  (Brunello di Montalcino)                                              ;75;Tuscany          ;                 ;Sangiovese                ;San Polino                     
25849;88;Alto Adige                ;Erste Neue 2011 Prunar Pinot Bianco (Alto Adige)                                                  ;19;Northeastern Ital;                 ;Pinot Bianco              ;Erste Neue                     
25850;88;Alto Adige                ;Erste Neue 2011 Rifall Riesling (Alto Adige)                                                      ;21;Northeastern Ital;                 ;Riesling                  ;Erste Neue                     
25851;88;Rosso di Montalcino       ;Fanti 2010  Rosso di Montalcino                                                                   ;20;Tuscany          ;                 ;Sangiovese Grosso         ;Fanti                          
25862;88;Cesanese del Piglio       ;Casale della Ioria 2010 Campo Novo  (Cesanese del Piglio)                                         ;16;Central Italy    ;                 ;Cesanese d'Affile         ;Casale della Ioria             
25911;87;Barolo                    ;Aldo Clerico 2012  Barolo                                                                         ;48;Piedmont         ;                 ;Nebbiolo                  ;Aldo Clerico                   
25914;87;Barolo                    ;Monti 2012  Barolo                                                                                ;45;Piedmont         ;                 ;Nebbiolo                  ;Monti                          
25917;87;Barolo                    ;Rocche dei Manzoni 2012 Perno Vigna Cappella di S. Stefano  (Barolo)                              ;105;Piedmont         ;                 ;Nebbiolo                  ;Rocche dei Manzoni             
25930;87;Salice Salentino          ;Li Veli 2007 Pezzo Morgana Red (Salice Salentino)                                                 ;               ;Southern Italy   ;                 ;Red Blend                 ;Li Veli                        
25931;87;Aglianico del Vulture     ;Lucania 2009 Gricos  (Aglianico del Vulture)                                                      ;11;Southern Italy   ;                 ;Aglianico                 ;Lucania                        
25933;87;Moscato d'Asti            ;Marco Negri 2011 Marsillo  (Moscato d'Asti)                                                       ;17;Piedmont         ;                 ;Moscato                   ;Marco Negri                    
25945;87;Campania                  ;Orion Wine 2010 Rocca del Dragone Falanghina (Campania)                                           ;15;Southern Italy   ;                 ;Falanghina                ;Orion Wine                     
25950;93;Montefalco Sagrantino     ;Cantina Fratelli Pardi 2009  Montefalco Sagrantino                                                ;38;Central Italy    ;                 ;Sagrantino                ;Cantina Fratelli Pardi         
25960;93;Colli Orientali del Friuli;Comelli 2011 Eoos Picolit (Colli Orientali del Friuli)                                            ;45;Northeastern Ital;                 ;Picolit                   ;Comelli                        
25963;93;Montefalco Rosso          ;Milziade Antano 2012  Montefalco Rosso                                                            ;20;Central Italy    ;                 ;Red Blend                 ;Milziade Antano                
25977;92;Trento                    ;Ferrari 2007 Perlé Nero Pinot Nero (Trento)                                                       ;78;Northeastern Ital;                 ;Pinot Nero                ;Ferrari                        
25984;91;Amarone della Valpolicella;Zenato 2012  Amarone della Valpolicella Classico                                                  ;60;Veneto           ;                 ;Red Blend                 ;Zenato                         
26006;91;Amarone della Valpolicella;Cesari 2007 Bosan Riserva  (Amarone della Valpolicella Classico)                                  ;115;Veneto           ;                 ;Red Blend                 ;Cesari                         
26011;86;Maremma Toscana           ;Tommasi 2008 Poggio al Tufo  (Maremma Toscana)                                                    ;24;Tuscany          ;                 ;Alicante                  ;Tommasi                        
26014;86;Colline Pescaresi         ;Farnese 2011 Pinot Grigio (Colline Pescaresi)                                                     ;11;Central Italy    ;                 ;Pinot Grigio              ;Farnese                        
26017;86;Toscana                   ;Banfi 2011 Centine Rosato (Toscana)                                                               ;11;Tuscany          ;                 ;Rosato                    ;Banfi                          
26018;86;Verdicchio di Matelica    ;Capestrano 2011  Verdicchio di Matelica                                                           ;15;Central Italy    ;                 ;Verdicchio                ;Capestrano                     
26022;86;Umbria                    ;Bigi 2010 Vipra Bianca White (Umbria)                                                             ;14;Central Italy    ;                 ;White Blend               ;Bigi                           
26023;86;Marche                    ;Domodimonti 2010 Monte Fiore Sangiovese (Marche)                                                  ;15;Central Italy    ;                 ;Sangiovese                ;Domodimonti                    
26025;86;Umbria                    ;Roccafiore 2009 Rosso Melograno Red (Umbria)                                                      ;12;Central Italy    ;                 ;Red Blend                 ;Roccafiore                     
26027;86;Umbria                    ;Tenuta Vitalonga 2009 Sangio'vese Sangiovese (Umbria)                                             ;14;Central Italy    ;                 ;Sangiovese                ;Tenuta Vitalonga               
26033;86;Colline Pescaresi         ;Pasetti 2010 Diecicoppe Red (Colline Pescaresi)                                                   ;16;Central Italy    ;                 ;Red Blend                 ;Pasetti                        
26048;84;Colline Novaresi          ;Ca' Nova 2014 Bocciolo Nebbiolo (Colline Novaresi)                                                ;17;Piedmont         ;                 ;Nebbiolo                  ;Ca' Nova                       
26065;88;Bolgheri                  ;Ferrari Iris e Figli 2010  Bolgheri                                                               ;               ;Tuscany          ;                 ;Red Blend                 ;Ferrari Iris e Figli           
26068;87;Toscana                   ;Mocine 2007 S'Indora Red (Toscana)                                                                ;12;Tuscany          ;                 ;Red Blend                 ;Mocine                         
26071;87;Chianti                   ;L'Oca Ciuca 2008 Riserva  (Chianti)                                                               ;18;Tuscany          ;                 ;Sangiovese                ;L'Oca Ciuca                    
26076;87;Maremma Toscana           ;Rocca di Montemassi 2011 Astraio Viognier (Maremma Toscana)                                       ;15;Tuscany          ;                 ;Viognier                  ;Rocca di Montemassi            
26078;87;Maremma Toscana           ;Tenuta La Badiola 2011 Acquadoro Viognier (Maremma Toscana)                                       ;25;Tuscany          ;                 ;Viognier                  ;Tenuta La Badiola              
26079;87;Morellino di Scansano     ;Tenuta Pietramora 2008  Morellino di Scansano                                                     ;17;Tuscany          ;                 ;Red Blend                 ;Tenuta Pietramora              
26084;87;Chianti Classico          ;Borgo Scopeto 2009  Chianti Classico                                                              ;20;Tuscany          ;                 ;Sangiovese                ;Borgo Scopeto                  
26093;92;Amarone della Valpolicella;Villa Spinosa 2000  Amarone della Valpolicella Classico                                           ;55;Veneto           ;                 ;Corvina, Rondinella, Molin;Villa Spinosa                  
26095;92;Venezia Giulia            ;Bressan 2004 Pinot Grigio (Venezia Giulia)                                                        ;35;Northeastern Ital;                 ;Pinot Grigio              ;Bressan                        
26097;91;Amarone della Valpolicella;Le Ragose 2001  Amarone della Valpolicella                                                        ;62;Veneto           ;                 ;Corvina, Rondinella, Molin;Le Ragose                      
26103;91;Amarone della Valpolicella;Sartori 2001 Corte Brà  (Amarone della Valpolicella Classico)                                     ;40;Veneto           ;                 ;Corvina, Rondinella, Molin;Sartori                        
26118;90;Taurasi                   ;Terredora 2001 Fatica Contadina  (Taurasi)                                                        ;54;Southern Italy   ;                 ;Aglianico                 ;Terredora                      
26120;90;Taurasi                   ;Cantina Dei Monaci 2001 Monaco Rosso  (Taurasi)                                                   ;49;Southern Italy   ;                 ;Aglianico                 ;Cantina Dei Monaci             
26121;90;Aglianico del Vulture     ;Cantine del Notaio 2006 Il Repertorio  (Aglianico del Vulture)                                    ;35;Southern Italy   ;                 ;Aglianico                 ;Cantine del Notaio             
26124;90;Taurasi                   ;Fratelli Urciuolo 2004  Taurasi                                                                   ;32;Southern Italy   ;                 ;Aglianico                 ;Fratelli Urciuolo              
26131;90;Taurasi                   ;Mastroberardino 2003 Radici  (Taurasi)                                                            ;43;Southern Italy   ;                 ;Aglianico                 ;Mastroberardino                
26134;89;Irpinia                   ;Donnachiara 2006 Preludio Aglianico (Irpinia)                                                     ;               ;Southern Italy   ;                 ;Aglianico                 ;Donnachiara                    
26140;89;Taurasi                   ;I Capitani 2004 Bosco Faiano  (Taurasi)                                                           ;39;Southern Italy   ;                 ;Aglianico                 ;I Capitani                     
26149;89;Valdobbiadene Prosecco Sup;Santa Margherita 2015 Extra Dry  (Valdobbiadene Prosecco Superiore)                               ;               ;Veneto           ;                 ;Glera                     ;Santa Margherita               
26150;89;Etna                      ;Antichi Vinai 1877 2011 Brut Metodo Classico  (Etna)                                              ;45;Sicily & Sardinia;                 ;Nerello Mascalese         ;Antichi Vinai 1877             
26152;89;Franciacorta              ;Barone Pizzini 2012 Rosé Pinot Nero (Franciacorta)                                                ;45;Lombardy         ;                 ;Pinot Nero                ;Barone Pizzini                 
26161;89;Franciacorta              ;Ca' del Bosco NV Cuvée Prestige Metodo Classico Sparkling (Franciacorta)                          ;40;Lombardy         ;                 ;Sparkling Blend           ;Ca' del Bosco                  
26172;89;Colline Novaresi          ;Vallana 2013 Spanna Bernardo Vallana Nebbiolo (Colline Novaresi)                                  ;18;Piedmont         ;                 ;Nebbiolo                  ;Vallana                        
26175;89;Barolo                    ;Vite Colte 2011 del Comune di Serralunga d'Alba  (Barolo)                                         ;70;Piedmont         ;                 ;Nebbiolo                  ;Vite Colte                     
26179;89;Barolo                    ;Oddero 2004 Villero  (Barolo)                                                                     ;59;Piedmont         ;                 ;Nebbiolo                  ;Oddero                         
26180;89;Barolo                    ;Palladino 2005 Parafada  (Barolo)                                                                 ;78;Piedmont         ;                 ;Nebbiolo                  ;Palladino                      
